brick_rejections,prompt,structure_id
13,Brick-built car with detailed roof and protruding bumper.,fd5f1376-4d9d-40d3-a2c9-933e229a4009
115,Brick vehicle featuring rectangular shape and raised roof elements.,fd5f1376-4d9d-40d3-a2c9-933e229a4009
99,"Car with a blocky structure, defined roof, and distinct front bumper.",fd5f1376-4d9d-40d3-a2c9-933e229a4009
132,"A rectangular car form with a stepped roof, angular windshield area, front bumper extending slightly forward, and defined wheel placements.",fd5f1376-4d9d-40d3-a2c9-933e229a4009
477,"A car featuring a rectangular chassis, with a stepped roof design and varied height levels. The front bumper extends outward, and the windshield area is recessed. It has angular elements on top, indicative of a roof and window details. The structure includes defined placements for four wheels.",fd5f1376-4d9d-40d3-a2c9-933e229a4009
367,Brick-built car with detailed roof and protruding bumper.,7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
67,Brick vehicle featuring rectangular shape and raised roof elements.,7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
4,"Car with a blocky structure, defined roof, and distinct front bumper.",7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
282,"A rectangular car form with a stepped roof, angular windshield area, front bumper extending slightly forward, and defined wheel placements.",7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
71,"A car featuring a rectangular chassis, with a stepped roof design and varied height levels. The front bumper extends outward, and the windshield area is recessed. It has angular elements on top, indicative of a roof and window details. The structure includes defined placements for four wheels.",7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
72,Compact car with defined geometric features and angular contours.,8a9c164f-5e11-41e4-ba70-f0669ab3d033
140,A small car exhibiting a box-like structure and prominent edges.,8a9c164f-5e11-41e4-ba70-f0669ab3d033
34,"A blocky car shape with angular front, flat top, and rectangular sides.",8a9c164f-5e11-41e4-ba70-f0669ab3d033
111,"A car featuring a stepped front bumper beneath an angular hood, square roof, and precise rectangular body.",8a9c164f-5e11-41e4-ba70-f0669ab3d033
72,"A geometric car with an angular hood, stepped front bumper, flat roof, and rectangular sides. The body is compact, with distinct, sharp edges forming a cohesive rectangular shape. The front grill is recessed, enhancing the defined contour of the vehicle.",8a9c164f-5e11-41e4-ba70-f0669ab3d033
120,Compact car with a rectangular body and angular corners.,405fb729-8ff6-4f6b-b1d2-7c4067371d5c
93,"A car with an angular, box-like structure and defined corners.",405fb729-8ff6-4f6b-b1d2-7c4067371d5c
79,"Boxy car featuring a flat top and vertical sides, with a rectangular layout.",405fb729-8ff6-4f6b-b1d2-7c4067371d5c
178,"A car with a flat, rectangular roof, vertical window sections, box-like contours, and an angular front.",405fb729-8ff6-4f6b-b1d2-7c4067371d5c
35,"A car with a flat rectangular roof, vertical window panels on both sides, and defined boxy contours with an angular front and rear design, supported by a blocky understructure.",405fb729-8ff6-4f6b-b1d2-7c4067371d5c
45,Compact car with a rectangular body and angular corners.,0b0a4be5-7cfa-46d2-aca6-9070dcfac171
296,"A car with an angular, box-like structure and defined corners.",0b0a4be5-7cfa-46d2-aca6-9070dcfac171
29,"Boxy car featuring a flat top and vertical sides, with a rectangular layout.",0b0a4be5-7cfa-46d2-aca6-9070dcfac171
152,"A car with a flat, rectangular roof, vertical window sections, box-like contours, and an angular front.",0b0a4be5-7cfa-46d2-aca6-9070dcfac171
60,"A car with a flat rectangular roof, vertical window panels on both sides, and defined boxy contours with an angular front and rear design, supported by a blocky understructure.",0b0a4be5-7cfa-46d2-aca6-9070dcfac171
8,Compact car shape with geometric components.,af09dc1a-bf90-45a5-996c-74f052a0ad13
68,Rectangular car body with angular extensions and tiered surfaces.,af09dc1a-bf90-45a5-996c-74f052a0ad13
137,Angular vehicle with a streamlined roof and pronounced rectangular base.,af09dc1a-bf90-45a5-996c-74f052a0ad13
62,"Boxy automobile featuring a stepped roofline and protruding, squared rear section.",af09dc1a-bf90-45a5-996c-74f052a0ad13
382,"Car with a low, rectangular structure, featuring a stepped roofline and a flat front. The rear is squared and extends outward, with multiple rectangular segments clearly defining the geometric form.",af09dc1a-bf90-45a5-996c-74f052a0ad13
1045,Compact car shape with geometric components.,50a9225a-5599-4128-aee9-e716458f102e
35,Rectangular car body with angular extensions and tiered surfaces.,50a9225a-5599-4128-aee9-e716458f102e
431,Angular vehicle with a streamlined roof and pronounced rectangular base.,50a9225a-5599-4128-aee9-e716458f102e
36,"Boxy automobile featuring a stepped roofline and protruding, squared rear section.",50a9225a-5599-4128-aee9-e716458f102e
188,"Car with a low, rectangular structure, featuring a stepped roofline and a flat front. The rear is squared and extends outward, with multiple rectangular segments clearly defining the geometric form.",50a9225a-5599-4128-aee9-e716458f102e
134,Compact car with a blocky form.,fe042a53-55db-4885-8e36-02683200f1c4
169,Compact automobile featuring a block-based rectangular body.,fe042a53-55db-4885-8e36-02683200f1c4
702,"Automobile with a rectangular body, flat roof, and angular sides.",fe042a53-55db-4885-8e36-02683200f1c4
163,"Car with a rectangular body, a flat top, and an angled front. The vehicle has blocky wheels set underneath.",fe042a53-55db-4885-8e36-02683200f1c4
128,"Rectangular car with a flat upper surface and sloped front. The front features a protruding block arrangement, while four square wheels with block edges support the body.",fe042a53-55db-4885-8e36-02683200f1c4
36,Compact car with smooth contours and angular lines.,0ea3be70-6bd2-448f-9f96-34ce244bd03f
145,"Angular car with a flat top, hinted curves, and geometric sides.",0ea3be70-6bd2-448f-9f96-34ce244bd03f
30,"Car featuring a flat roof, squared rear, and a contoured front with block-like features.",0ea3be70-6bd2-448f-9f96-34ce244bd03f
91,"Boxy car form with tiered roof, distinct rectangular rear, contoured front, and layered side panels.",0ea3be70-6bd2-448f-9f96-34ce244bd03f
330,"A compact car with a flat, rectangular roof blending into angular sides. The front is curved with squared headlight structures. The rear has pronounced rectangular features, while the sides are layered with incremental steps towards the base.",0ea3be70-6bd2-448f-9f96-34ce244bd03f
263,Compact car with smooth contours and angular lines.,cace7e3a-663a-4990-ae56-293cda033d3c
482,"Angular car with a flat top, hinted curves, and geometric sides.",cace7e3a-663a-4990-ae56-293cda033d3c
213,"Car featuring a flat roof, squared rear, and a contoured front with block-like features.",cace7e3a-663a-4990-ae56-293cda033d3c
267,"Boxy car form with tiered roof, distinct rectangular rear, contoured front, and layered side panels.",cace7e3a-663a-4990-ae56-293cda033d3c
382,"A compact car with a flat, rectangular roof blending into angular sides. The front is curved with squared headlight structures. The rear has pronounced rectangular features, while the sides are layered with incremental steps towards the base.",cace7e3a-663a-4990-ae56-293cda033d3c
268,"Compact car with a blocky, angular form.",62617df7-621f-4bf6-84df-7085055dba16
133,Brick-based vehicle with a tiered roof and rectangular windows.,62617df7-621f-4bf6-84df-7085055dba16
181,Boxy automobile featuring a layered rear and geometric front grille.,62617df7-621f-4bf6-84df-7085055dba16
171,"Chunky car characterized by stacked bricks forming a two-tier roof, squared-off windows, and a robust grille design.",62617df7-621f-4bf6-84df-7085055dba16
