structure_id,prompt,collision,already_rejected,out_of_bounds,not_in_library
fd5f1376-4d9d-40d3-a2c9-933e229a4009,Brick-built car with detailed roof and protruding bumper.,6,6,1.0,
fd5f1376-4d9d-40d3-a2c9-933e229a4009,Brick vehicle featuring rectangular shape and raised roof elements.,9,106,,
fd5f1376-4d9d-40d3-a2c9-933e229a4009,"Car with a blocky structure, defined roof, and distinct front bumper.",18,81,,
fd5f1376-4d9d-40d3-a2c9-933e229a4009,"A rectangular car form with a stepped roof, angular windshield area, front bumper extending slightly forward, and defined wheel placements.",29,103,,
fd5f1376-4d9d-40d3-a2c9-933e229a4009,"A car featuring a rectangular chassis, with a stepped roof design and varied height levels. The front bumper extends outward, and the windshield area is recessed. It has angular elements on top, indicative of a roof and window details. The structure includes defined placements for four wheels.",65,411,,1.0
7cb2a7d9-3c81-47b1-89cd-26d4f13153b4,Brick-built car with detailed roof and protruding bumper.,55,311,,1.0
7cb2a7d9-3c81-47b1-89cd-26d4f13153b4,Brick vehicle featuring rectangular shape and raised roof elements.,9,58,,
7cb2a7d9-3c81-47b1-89cd-26d4f13153b4,"Car with a blocky structure, defined roof, and distinct front bumper.",2,2,,
7cb2a7d9-3c81-47b1-89cd-26d4f13153b4,"A rectangular car form with a stepped roof, angular windshield area, front bumper extending slightly forward, and defined wheel placements.",65,217,,
7cb2a7d9-3c81-47b1-89cd-26d4f13153b4,"A car featuring a rectangular chassis, with a stepped roof design and varied height levels. The front bumper extends outward, and the windshield area is recessed. It has angular elements on top, indicative of a roof and window details. The structure includes defined placements for four wheels.",11,60,,
8a9c164f-5e11-41e4-ba70-f0669ab3d033,Compact car with defined geometric features and angular contours.,7,65,,
8a9c164f-5e11-41e4-ba70-f0669ab3d033,A small car exhibiting a box-like structure and prominent edges.,18,122,,
8a9c164f-5e11-41e4-ba70-f0669ab3d033,"A blocky car shape with angular front, flat top, and rectangular sides.",12,22,,
8a9c164f-5e11-41e4-ba70-f0669ab3d033,"A car featuring a stepped front bumper beneath an angular hood, square roof, and precise rectangular body.",13,98,,
8a9c164f-5e11-41e4-ba70-f0669ab3d033,"A geometric car with an angular hood, stepped front bumper, flat roof, and rectangular sides. The body is compact, with distinct, sharp edges forming a cohesive rectangular shape. The front grill is recessed, enhancing the defined contour of the vehicle.",22,50,,
405fb729-8ff6-4f6b-b1d2-7c4067371d5c,Compact car with a rectangular body and angular corners.,33,87,,
405fb729-8ff6-4f6b-b1d2-7c4067371d5c,"A car with an angular, box-like structure and defined corners.",3,90,,
405fb729-8ff6-4f6b-b1d2-7c4067371d5c,"Boxy car featuring a flat top and vertical sides, with a rectangular layout.",22,57,,
405fb729-8ff6-4f6b-b1d2-7c4067371d5c,"A car with a flat, rectangular roof, vertical window sections, box-like contours, and an angular front.",50,128,,
405fb729-8ff6-4f6b-b1d2-7c4067371d5c,"A car with a flat rectangular roof, vertical window panels on both sides, and defined boxy contours with an angular front and rear design, supported by a blocky understructure.",11,24,,
0b0a4be5-7cfa-46d2-aca6-9070dcfac171,Compact car with a rectangular body and angular corners.,9,36,,
0b0a4be5-7cfa-46d2-aca6-9070dcfac171,"A car with an angular, box-like structure and defined corners.",25,271,,
0b0a4be5-7cfa-46d2-aca6-9070dcfac171,"Boxy car featuring a flat top and vertical sides, with a rectangular layout.",7,22,,
0b0a4be5-7cfa-46d2-aca6-9070dcfac171,"A car with a flat, rectangular roof, vertical window sections, box-like contours, and an angular front.",51,101,,
0b0a4be5-7cfa-46d2-aca6-9070dcfac171,"A car with a flat rectangular roof, vertical window panels on both sides, and defined boxy contours with an angular front and rear design, supported by a blocky understructure.",13,47,,
af09dc1a-bf90-45a5-996c-74f052a0ad13,Compact car shape with geometric components.,6,2,,
af09dc1a-bf90-45a5-996c-74f052a0ad13,Rectangular car body with angular extensions and tiered surfaces.,9,59,,
af09dc1a-bf90-45a5-996c-74f052a0ad13,Angular vehicle with a streamlined roof and pronounced rectangular base.,21,116,,
af09dc1a-bf90-45a5-996c-74f052a0ad13,"Boxy automobile featuring a stepped roofline and protruding, squared rear section.",5,57,,
af09dc1a-bf90-45a5-996c-74f052a0ad13,"Car with a low, rectangular structure, featuring a stepped roofline and a flat front. The rear is squared and extends outward, with multiple rectangular segments clearly defining the geometric form.",68,314,,
50a9225a-5599-4128-aee9-e716458f102e,Compact car shape with geometric components.,251,792,,2.0
50a9225a-5599-4128-aee9-e716458f102e,Rectangular car body with angular extensions and tiered surfaces.,13,22,,
50a9225a-5599-4128-aee9-e716458f102e,Angular vehicle with a streamlined roof and pronounced rectangular base.,122,309,,
50a9225a-5599-4128-aee9-e716458f102e,"Boxy automobile featuring a stepped roofline and protruding, squared rear section.",13,23,,
50a9225a-5599-4128-aee9-e716458f102e,"Car with a low, rectangular structure, featuring a stepped roofline and a flat front. The rear is squared and extends outward, with multiple rectangular segments clearly defining the geometric form.",33,155,,
fe042a53-55db-4885-8e36-02683200f1c4,Compact car with a blocky form.,28,106,,
fe042a53-55db-4885-8e36-02683200f1c4,Compact automobile featuring a block-based rectangular body.,19,150,,
fe042a53-55db-4885-8e36-02683200f1c4,"Automobile with a rectangular body, flat roof, and angular sides.",67,632,,3.0
fe042a53-55db-4885-8e36-02683200f1c4,"Car with a rectangular body, a flat top, and an angled front. The vehicle has blocky wheels set underneath.",19,144,,
fe042a53-55db-4885-8e36-02683200f1c4,"Rectangular car with a flat upper surface and sloped front. The front features a protruding block arrangement, while four square wheels with block edges support the body.",24,104,,
0ea3be70-6bd2-448f-9f96-34ce244bd03f,Compact car with smooth contours and angular lines.,17,19,,
0ea3be70-6bd2-448f-9f96-34ce244bd03f,"Angular car with a flat top, hinted curves, and geometric sides.",36,108,,1.0
0ea3be70-6bd2-448f-9f96-34ce244bd03f,"Car featuring a flat roof, squared rear, and a contoured front with block-like features.",8,22,,
0ea3be70-6bd2-448f-9f96-34ce244bd03f,"Boxy car form with tiered roof, distinct rectangular rear, contoured front, and layered side panels.",13,78,,
0ea3be70-6bd2-448f-9f96-34ce244bd03f,"A compact car with a flat, rectangular roof blending into angular sides. The front is curved with squared headlight structures. The rear has pronounced rectangular features, while the sides are layered with incremental steps towards the base.",51,279,,
cace7e3a-663a-4990-ae56-293cda033d3c,Compact car with smooth contours and angular lines.,44,219,,
cace7e3a-663a-4990-ae56-293cda033d3c,"Angular car with a flat top, hinted curves, and geometric sides.",180,302,,
cace7e3a-663a-4990-ae56-293cda033d3c,"Car featuring a flat roof, squared rear, and a contoured front with block-like features.",34,179,,
cace7e3a-663a-4990-ae56-293cda033d3c,"Boxy car form with tiered roof, distinct rectangular rear, contoured front, and layered side panels.",47,220,,
cace7e3a-663a-4990-ae56-293cda033d3c,"A compact car with a flat, rectangular roof blending into angular sides. The front is curved with squared headlight structures. The rear has pronounced rectangular features, while the sides are layered with incremental steps towards the base.",41,341,,
