already_rejected,collision,not_in_library,out_of_bounds,prompt,structure_id
6.0,6.0,,1.0,Brick-built car with detailed roof and protruding bumper.,fd5f1376-4d9d-40d3-a2c9-933e229a4009
106.0,9.0,,,Brick vehicle featuring rectangular shape and raised roof elements.,fd5f1376-4d9d-40d3-a2c9-933e229a4009
81.0,18.0,,,"Car with a blocky structure, defined roof, and distinct front bumper.",fd5f1376-4d9d-40d3-a2c9-933e229a4009
103.0,29.0,,,"A rectangular car form with a stepped roof, angular windshield area, front bumper extending slightly forward, and defined wheel placements.",fd5f1376-4d9d-40d3-a2c9-933e229a4009
411.0,65.0,1.0,,"A car featuring a rectangular chassis, with a stepped roof design and varied height levels. The front bumper extends outward, and the windshield area is recessed. It has angular elements on top, indicative of a roof and window details. The structure includes defined placements for four wheels.",fd5f1376-4d9d-40d3-a2c9-933e229a4009
311.0,55.0,1.0,,Brick-built car with detailed roof and protruding bumper.,7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
58.0,9.0,,,Brick vehicle featuring rectangular shape and raised roof elements.,7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
2.0,2.0,,,"Car with a blocky structure, defined roof, and distinct front bumper.",7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
217.0,65.0,,,"A rectangular car form with a stepped roof, angular windshield area, front bumper extending slightly forward, and defined wheel placements.",7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
60.0,11.0,,,"A car featuring a rectangular chassis, with a stepped roof design and varied height levels. The front bumper extends outward, and the windshield area is recessed. It has angular elements on top, indicative of a roof and window details. The structure includes defined placements for four wheels.",7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
65.0,7.0,,,Compact car with defined geometric features and angular contours.,8a9c164f-5e11-41e4-ba70-f0669ab3d033
122.0,18.0,,,A small car exhibiting a box-like structure and prominent edges.,8a9c164f-5e11-41e4-ba70-f0669ab3d033
22.0,12.0,,,"A blocky car shape with angular front, flat top, and rectangular sides.",8a9c164f-5e11-41e4-ba70-f0669ab3d033
98.0,13.0,,,"A car featuring a stepped front bumper beneath an angular hood, square roof, and precise rectangular body.",8a9c164f-5e11-41e4-ba70-f0669ab3d033
