structure_id,prompt,regenerations
73523f77-79fc-472e-897f-399e0caac8f9,Compact car with a blocky geometric structure.,10
73523f77-79fc-472e-897f-399e0caac8f9,Angular vehicle featuring a layered rectangular body and protruding edges.,14
73523f77-79fc-472e-897f-399e0caac8f9,"Vehicle with a blocky frame, distinct rectangular sections, and tiered arrangement.",9
73523f77-79fc-472e-897f-399e0caac8f9,"An angular car form with rectangular layers and a stepped, blocky roof structure.",7
73523f77-79fc-472e-897f-399e0caac8f9,"A rectangular-bodied car with angular, layered construction, featuring a stepped roof and prominent edges around its base, exhibiting a cohesive geometric assembly.",7
8736a151-9815-467a-b504-ce3eff1df5bf,"Car with a compact, blocky appearance and tiered structure.",5
8736a151-9815-467a-b504-ce3eff1df5bf,Compact vehicle shape with a tiered layered roof and squared edges.,3
8736a151-9815-467a-b504-ce3eff1df5bf,"Rectangular car form with defined tiers, blocky contours, and recessed wheel arches.",5
8736a151-9815-467a-b504-ce3eff1df5bf,"The car has a compact, rectangular body, a tiered roofline, squared edges, recessed wheel arches, and layered elements forming its body.",6
8736a151-9815-467a-b504-ce3eff1df5bf,"A compact car featuring a blocky rectangular shape with distinct tiered layers. The roofline is slightly lower than the body width, with squared edges throughout. The recessed wheel arches create indentations, and layered elements delineate the body structure, emphasizing its geometric precision.",0
3b26b74a-a4a8-494b-93e5-8ffbcfe8dd3a,"Car with a compact, blocky appearance and tiered structure.",8
3b26b74a-a4a8-494b-93e5-8ffbcfe8dd3a,Compact vehicle shape with a tiered layered roof and squared edges.,1
3b26b74a-a4a8-494b-93e5-8ffbcfe8dd3a,"Rectangular car form with defined tiers, blocky contours, and recessed wheel arches.",6
3b26b74a-a4a8-494b-93e5-8ffbcfe8dd3a,"The car has a compact, rectangular body, a tiered roofline, squared edges, recessed wheel arches, and layered elements forming its body.",6
3b26b74a-a4a8-494b-93e5-8ffbcfe8dd3a,"A compact car featuring a blocky rectangular shape with distinct tiered layers. The roofline is slightly lower than the body width, with squared edges throughout. The recessed wheel arches create indentations, and layered elements delineate the body structure, emphasizing its geometric precision.",5
9771209e-52f9-4d05-afe1-ffb27fe78d03,Car with rectangular body and a stacked top profile.,0
9771209e-52f9-4d05-afe1-ffb27fe78d03,Boxy car with layered roof structure and angular front design.,4
9771209e-52f9-4d05-afe1-ffb27fe78d03,Compact car shape with distinct boxy body and layered top section.,15
9771209e-52f9-4d05-afe1-ffb27fe78d03,"Car features a rectangular, flat body structure with a prominent layered roof. The sides are angular, and the rear is slightly extended.",4
9771209e-52f9-4d05-afe1-ffb27fe78d03,"The car has a flat, rectangular body with a slightly inclined front. The top section consists of stacked layers creating a stepped effect. The sides are straight with blocky details, and the rear extends out subtly. The front section has a slight curvature.",7
e97f6cf8-6c7c-45f5-9ec6-e488ddace8ec,Car with rectangular body and a stacked top profile.,11
e97f6cf8-6c7c-45f5-9ec6-e488ddace8ec,Boxy car with layered roof structure and angular front design.,8
e97f6cf8-6c7c-45f5-9ec6-e488ddace8ec,Compact car shape with distinct boxy body and layered top section.,10
e97f6cf8-6c7c-45f5-9ec6-e488ddace8ec,"Car features a rectangular, flat body structure with a prominent layered roof. The sides are angular, and the rear is slightly extended.",15
e97f6cf8-6c7c-45f5-9ec6-e488ddace8ec,"The car has a flat, rectangular body with a slightly inclined front. The top section consists of stacked layers creating a stepped effect. The sides are straight with blocky details, and the rear extends out subtly. The front section has a slight curvature.",1
854f8fa0-f21b-4e8e-bfde-d3cf332146f7,Car with a rectangular body and blocky contours.,5
854f8fa0-f21b-4e8e-bfde-d3cf332146f7,Rectangular automobile featuring an angled roof and blocky edges.,1
854f8fa0-f21b-4e8e-bfde-d3cf332146f7,"Vehicle with a flat roof, angular front, and rectangular body shape.",4
854f8fa0-f21b-4e8e-bfde-d3cf332146f7,"Car with a rectangular body, flat roof, and a symmetrical rear. The sides are straight with an angular front design.",34
854f8fa0-f21b-4e8e-bfde-d3cf332146f7,"A rectangular car form with a flat, slightly sloping roof. The front is angular, with the rear having a symmetrical blocky shape. The vehicle's body is composed of interlocking rectangular shapes, with prominent straight lines along the sides.",7
8adb8daa-a734-4e7e-b3f6-eb29e4dab731,Car with a rectangular body and blocky contours.,1
8adb8daa-a734-4e7e-b3f6-eb29e4dab731,Rectangular automobile featuring an angled roof and blocky edges.,5
8adb8daa-a734-4e7e-b3f6-eb29e4dab731,"Vehicle with a flat roof, angular front, and rectangular body shape.",0
8adb8daa-a734-4e7e-b3f6-eb29e4dab731,"Car with a rectangular body, flat roof, and a symmetrical rear. The sides are straight with an angular front design.",0
