structure_id,prompt,collision,already_rejected
73523f77-79fc-472e-897f-399e0caac8f9,Compact car with a blocky geometric structure.,43,404
73523f77-79fc-472e-897f-399e0caac8f9,Angular vehicle featuring a layered rectangular body and protruding edges.,34,235
73523f77-79fc-472e-897f-399e0caac8f9,"Vehicle with a blocky frame, distinct rectangular sections, and tiered arrangement.",31,264,1
73523f77-79fc-472e-897f-399e0caac8f9,"An angular car form with rectangular layers and a stepped, blocky roof structure.",29,130
73523f77-79fc-472e-897f-399e0caac8f9,"A rectangular-bodied car with angular, layered construction, featuring a stepped roof and prominent edges around its base, exhibiting a cohesive geometric assembly.",18,138
8736a151-9815-467a-b504-ce3eff1df5bf,"Car with a compact, blocky appearance and tiered structure.",16,78
8736a151-9815-467a-b504-ce3eff1df5bf,Compact vehicle shape with a tiered layered roof and squared edges.,29,319
8736a151-9815-467a-b504-ce3eff1df5bf,"Rectangular car form with defined tiers, blocky contours, and recessed wheel arches.",17,149
8736a151-9815-467a-b504-ce3eff1df5bf,"The car has a compact, rectangular body, a tiered roofline, squared edges, recessed wheel arches, and layered elements forming its body.",31,177
8736a151-9815-467a-b504-ce3eff1df5bf,"A compact car featuring a blocky rectangular shape with distinct tiered layers. The roofline is slightly lower than the body width, with squared edges throughout. The recessed wheel arches create indentations, and layered elements delineate the body structure, emphasizing its geometric precision.",10,90
3b26b74a-a4a8-494b-93e5-8ffbcfe8dd3a,"Car with a compact, blocky appearance and tiered structure.",20,150
3b26b74a-a4a8-494b-93e5-8ffbcfe8dd3a,Compact vehicle shape with a tiered layered roof and squared edges.,7,28
3b26b74a-a4a8-494b-93e5-8ffbcfe8dd3a,"Rectangular car form with defined tiers, blocky contours, and recessed wheel arches.",25,86
3b26b74a-a4a8-494b-93e5-8ffbcfe8dd3a,"The car has a compact, rectangular body, a tiered roofline, squared edges, recessed wheel arches, and layered elements forming its body.",21,136
3b26b74a-a4a8-494b-93e5-8ffbcfe8dd3a,"A compact car featuring a blocky rectangular shape with distinct tiered layers. The roofline is slightly lower than the body width, with squared edges throughout. The recessed wheel arches create indentations, and layered elements delineate the body structure, emphasizing its geometric precision.",31,93
9771209e-52f9-4d05-afe1-ffb27fe78d03,Car with rectangular body and a stacked top profile.,3,53
9771209e-52f9-4d05-afe1-ffb27fe78d03,Boxy car with layered roof structure and angular front design.,19,111
9771209e-52f9-4d05-afe1-ffb27fe78d03,Compact car shape with distinct boxy body and layered top section.,37,99
9771209e-52f9-4d05-afe1-ffb27fe78d03,"Car features a rectangular, flat body structure with a prominent layered roof. The sides are angular, and the rear is slightly extended.",15,163
9771209e-52f9-4d05-afe1-ffb27fe78d03,"The car has a flat, rectangular body with a slightly inclined front. The top section consists of stacked layers creating a stepped effect. The sides are straight with blocky details, and the rear extends out subtly. The front section has a slight curvature.",24,260
e97f6cf8-6c7c-45f5-9ec6-e488ddace8ec,Car with rectangular body and a stacked top profile.,30,184
e97f6cf8-6c7c-45f5-9ec6-e488ddace8ec,Boxy car with layered roof structure and angular front design.,53,311
e97f6cf8-6c7c-45f5-9ec6-e488ddace8ec,Compact car shape with distinct boxy body and layered top section.,37,264
e97f6cf8-6c7c-45f5-9ec6-e488ddace8ec,"Car features a rectangular, flat body structure with a prominent layered roof. The sides are angular, and the rear is slightly extended.",51,252
e97f6cf8-6c7c-45f5-9ec6-e488ddace8ec,"The car has a flat, rectangular body with a slightly inclined front. The top section consists of stacked layers creating a stepped effect. The sides are straight with blocky details, and the rear extends out subtly. The front section has a slight curvature.",5,4
854f8fa0-f21b-4e8e-bfde-d3cf332146f7,Car with a rectangular body and blocky contours.,28,51
854f8fa0-f21b-4e8e-bfde-d3cf332146f7,Rectangular automobile featuring an angled roof and blocky edges.,6,36
854f8fa0-f21b-4e8e-bfde-d3cf332146f7,"Vehicle with a flat roof, angular front, and rectangular body shape.",14,114
854f8fa0-f21b-4e8e-bfde-d3cf332146f7,"Car with a rectangular body, flat roof, and a symmetrical rear. The sides are straight with an angular front design.",180,665,1
