structure_id,prompt,regenerations
62617df7-621f-4bf6-84df-7085055dba16,"Compact car with a blocky, angular form.",8
62617df7-621f-4bf6-84df-7085055dba16,Brick-based vehicle with a tiered roof and rectangular windows.,4
62617df7-621f-4bf6-84df-7085055dba16,Boxy automobile featuring a layered rear and geometric front grille.,9
62617df7-621f-4bf6-84df-7085055dba16,"Chunky car characterized by stacked bricks forming a two-tier roof, squared-off windows, and a robust grille design.",5
62617df7-621f-4bf6-84df-7085055dba16,"A cuboid car with a tiered roof, comprising rectangular, interlocked sections. Squared windows align symmetrically along the sides, while a segmented grille dominates the front edge, flanked by blocky wheel protrusions, creating a balanced and angular aesthetic.",3
a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8,"Compact car with a blocky, angular form.",3
a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8,Brick-based vehicle with a tiered roof and rectangular windows.,11
a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8,Boxy automobile featuring a layered rear and geometric front grille.,2
a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8,"Chunky car characterized by stacked bricks forming a two-tier roof, squared-off windows, and a robust grille design.",1
a5e92d8c-cfd9-4a5f-bc15-13dec745a8e8,"A cuboid car with a tiered roof, comprising rectangular, interlocked sections. Squared windows align symmetrically along the sides, while a segmented grille dominates the front edge, flanked by blocky wheel protrusions, creating a balanced and angular aesthetic.",12
dedd8afe-04c6-4e95-b4ed-7df177842bb9,"A minimalist car with a compact, boxy structure.",3
dedd8afe-04c6-4e95-b4ed-7df177842bb9,Compact car featuring a rectangular main body and squared edges.,5
dedd8afe-04c6-4e95-b4ed-7df177842bb9,"Car with a box-like body, flat roof, and angular contours.",1
dedd8afe-04c6-4e95-b4ed-7df177842bb9,"Boxy car form with a flat top, square wheels, and protruding front section.",7
dedd8afe-04c6-4e95-b4ed-7df177842bb9,"A rectangular car with a flat roof, vertical front block acting as a bumper, and square wheels integrated beneath. The sides and rear are distinctly flat, while the front section is slightly forward-angled.",14
37d342d0-3467-43b8-b203-5c2580462327,"A minimalist car with a compact, boxy structure.",7
37d342d0-3467-43b8-b203-5c2580462327,Compact car featuring a rectangular main body and squared edges.,18
