prompt,regenerations,structure_id
Brick-built car with detailed roof and protruding bumper.,13,fd5f1376-4d9d-40d3-a2c9-933e229a4009
Brick vehicle featuring rectangular shape and raised roof elements.,1,fd5f1376-4d9d-40d3-a2c9-933e229a4009
"Car with a blocky structure, defined roof, and distinct front bumper.",2,fd5f1376-4d9d-40d3-a2c9-933e229a4009
"A rectangular car form with a stepped roof, angular windshield area, front bumper extending slightly forward, and defined wheel placements.",5,fd5f1376-4d9d-40d3-a2c9-933e229a4009
"A car featuring a rectangular chassis, with a stepped roof design and varied height levels. The front bumper extends outward, and the windshield area is recessed. It has angular elements on top, indicative of a roof and window details. The structure includes defined placements for four wheels.",22,fd5f1376-4d9d-40d3-a2c9-933e229a4009
Brick-built car with detailed roof and protruding bumper.,18,7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
Brick vehicle featuring rectangular shape and raised roof elements.,6,7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
"Car with a blocky structure, defined roof, and distinct front bumper.",3,7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
"A rectangular car form with a stepped roof, angular windshield area, front bumper extending slightly forward, and defined wheel placements.",7,7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
"A car featuring a rectangular chassis, with a stepped roof design and varied height levels. The front bumper extends outward, and the windshield area is recessed. It has angular elements on top, indicative of a roof and window details. The structure includes defined placements for four wheels.",3,7cb2a7d9-3c81-47b1-89cd-26d4f13153b4
Compact car with defined geometric features and angular contours.,2,8a9c164f-5e11-41e4-ba70-f0669ab3d033
A small car exhibiting a box-like structure and prominent edges.,4,8a9c164f-5e11-41e4-ba70-f0669ab3d033
"A blocky car shape with angular front, flat top, and rectangular sides.",2,8a9c164f-5e11-41e4-ba70-f0669ab3d033
"A car featuring a stepped front bumper beneath an angular hood, square roof, and precise rectangular body.",6,8a9c164f-5e11-41e4-ba70-f0669ab3d033
"A geometric car with an angular hood, stepped front bumper, flat roof, and rectangular sides. The body is compact, with distinct, sharp edges forming a cohesive rectangular shape. The front grill is recessed, enhancing the defined contour of the vehicle.",8,8a9c164f-5e11-41e4-ba70-f0669ab3d033
Compact car with a rectangular body and angular corners.,8,405fb729-8ff6-4f6b-b1d2-7c4067371d5c
"A car with an angular, box-like structure and defined corners.",0,405fb729-8ff6-4f6b-b1d2-7c4067371d5c
"Boxy car featuring a flat top and vertical sides, with a rectangular layout.",3,405fb729-8ff6-4f6b-b1d2-7c4067371d5c
"A car with a flat, rectangular roof, vertical window sections, box-like contours, and an angular front.",22,405fb729-8ff6-4f6b-b1d2-7c4067371d5c
"A car with a flat rectangular roof, vertical window panels on both sides, and defined boxy contours with an angular front and rear design, supported by a blocky understructure.",2,405fb729-8ff6-4f6b-b1d2-7c4067371d5c
Compact car with a rectangular body and angular corners.,3,0b0a4be5-7cfa-46d2-aca6-9070dcfac171
"A car with an angular, box-like structure and defined corners.",5,0b0a4be5-7cfa-46d2-aca6-9070dcfac171
"Boxy car featuring a flat top and vertical sides, with a rectangular layout.",3,0b0a4be5-7cfa-46d2-aca6-9070dcfac171
"A car with a flat, rectangular roof, vertical window sections, box-like contours, and an angular front.",9,0b0a4be5-7cfa-46d2-aca6-9070dcfac171
